program,university,country,overall_coverage,items_covered,items_total,intra_redundancy,depth_score,depth_index,highest_bloom,n_bloom_levels,latency_score,age_freshness,tech_modernity,soa_density,assessment_diversity,composite_score,grade,overall_breadth,overall_depth,coherence_score,immersion_index,embedding_mean_score,n_outcomes,n_assessments
CyberMACS- Erasmus Mundus Joint Master’s Degree (EMJM) Programme in Applied Cybersecurity,"Kadir Has University (Coordinator-Türkiye), SRH Berlin University of Applied Sciences (Partner-Germany),  Cyril and Methodius University (Partner-North Macedonia)",Multi-country,0.5064,238,470,0.0471,0.4833,0.4333,Apply,2,0.535,1.0,0.1,0.7375,0.1111,0.6308,C,0.029,0.132,0.77,0.425,0.3316,2,1
Artificial Intelligence & Cybersecurity,University of Udine,Italy,0.5,235,470,0.0416,0.6167,0.5417,Create,3,0.525,0.9667,0.1,0.0,0.1111,0.6278,C,0.032,0.124,0.5,0.281,0.3209,1,1
Information Security,Brno University of Technology,Czech Republic,0.6128,288,470,0.0318,0.525,0.5,Apply,1,0.3733,0.8,0.0,0.6176,0.1111,0.6138,C,0.017,0.0,0.0,0.0,0.3209,2,1
IT & Mobile Security,FH JOANNEUM GmbH,Austria,0.6085,286,470,0.0299,0.7417,0.6667,Create,3,0.385,0.5,0.1,0.3491,0.3333,0.591,C,0.048,0.182,0.5,0.3,0.3076,0,3
MSc Cybersecurity,University of Central Lancashire Cyprus (UCLan Cyprus),Cyprus,0.4851,228,470,0.0489,0.525,0.5,Apply,1,0.4083,0.8,0.1,0.5,0.2222,0.5552,C,0.034,0.0,0.5,0.412,0.3027,2,2
Masters in Information Security,Faculdade de Ciências da Universidade do Porto,Portugal,0.5979,281,470,0.0273,0.525,0.5,Apply,1,0.3783,0.7,0.1,0.2824,0.1111,0.5277,C,0.058,0.0,0.5,0.475,0.265,0,1
Cyber Security and Resilience,Sankt Pölten University of Applied Sciences (FH St. Pölten),Austria,0.417,196,470,0.0221,0.0,0.0,None,0,0.4233,0.9667,0.0,0.6053,0.1111,0.4657,D,0.014,0.0,0.5,0.0,0.2644,0,1
Information Security Technology track,Eindhoven University of Technology,Netherlands,0.6106,287,470,0.0318,0.1917,0.1667,Remember,1,0.44,0.8,0.0,0.2258,0.2222,0.4587,D,0.014,0.127,0.25,0.363,0.3157,0,2
Bachelor of Cybersecurity,Masaryk University,Czech Republic,0.483,227,470,0.0427,0.0,0.0,None,0,0.4233,0.9667,0.0,0.0,0.2222,0.3278,E,0.009,0.0,0.25,0.544,0.295,0,2
"Master's Degree in Information Technology, Cyber Security",JAMK University of Applied Sciences,Finland,0.0915,43,470,0.0851,0.0,0.0,None,0,0.3533,0.7333,0.0,0.2784,0.1111,0.2827,E,0.01,0.0,0.0,0.438,0.1178,0,1
